action,url,title_target,primary_keyword,notes
create,/,Виза в Таиланд 2026 — ThaiPass,виза в тайланд 2026,landing 70/20/10
create,/uslugi/dtv-audit,DTV Audit — документы и аудит кейса,документы dtv виза тайланд,variant 1 premium name
create,/uslugi/dtv-concierge,DTV Concierge — сопровождение до одобрения,dtv виза под ключ,variant 2 premium name
create,/uslugi/tr-express,TR Express — срочная виза 3 дня,срочная виза тайланд 3 дня,urgent TR
create,/uslugi/tr-standard,TR Standard — туристическая виза 7 дней,туристическая виза тайланд,standard TR
create,/uslugi/retirement-50,Retirement Path — пенсионная 50+,пенсионная виза тайланд 50,O-A visa
create,/blog,Блог ThaiPass — гайды по визам Таиланд,виза тайланд гайд,WP integration
create,/kontakty,Контакты — офис Москва и курьер,виза тайланд москва,local SEO
create,/blog/dtv-viza-tailand-2026,DTV виза Таиланд 2026 — полный гайд,dtv виза тайланд 2026,P1 article
create,/blog/tdac-tailand-2026,TDAC Таиланд — как заполнить,tdac тайланд,P1 article
create,/blog/bezviz-tailand-2026,Безвиз Таиланд 2026 для россиян,безвиз тайланд 2026,P1 article
